system   I             system.c:245  al_install_system                [   0.00052] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:517  _al_score_display_settings       [   0.03938] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.03940] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03942] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.03944] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03946] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03948] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03950] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03952] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03954] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.03956] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03958] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.03960] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03962] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.03963] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03966] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03967] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03970] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03971] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03974] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.03975] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03977] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.03979] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03981] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.03983] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03985] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03987] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.03989] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.03991] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03993] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.03995] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.03997] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.04014] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04018] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.04019] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04022] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04024] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04026] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04028] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04030] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.04031] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04034] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.04035] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04038] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.04039] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04042] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04043] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04045] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04047] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04049] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.04051] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04053] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.04055] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04057] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.04059] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04061] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04063] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.04065] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.04067] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04069] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.04070] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04073] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.04074] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.04077] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.04078] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04080] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04082] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.04085] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04086] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.04089] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.04090] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
